 Y17, Y18, Y19, Y20, Y21, Y22, Y23, Y24, Y25, Y26
89,80,78,80,85,85,80,79,82,91
90,81,78,80,85,85,80,79,81,90
89,80,77,79,84,85,80,78,81,89
88,80,78,80,84,85,80,78,81,89
88,79,77,80,84,84,80,78,80,89
88,79,77,80,84,85,80,78,80,89
89,80,77,79,84,84,79,78,80,89
88,79,77,79,84,84,79,77,80,89
88,79,77,79,84,84,79,77,79,88
88,79,77,79,84,84,79,77,79,88
88,79,77,80,84,84,79,77,79,89
88,80,77,79,84,84,79,77,80,88
87,79,77,79,84,84,79,78,79,87
87,79,77,79,84,84,79,77,79,87
88,79,77,79,84,84,79,77,79,87
87,79,77,79,84,83,79,77,79,88
88,79,77,79,84,83,79,77,79,87
87,79,77,79,84,84,79,77,79,87
88,79,77,79,84,83,79,77,79,87
87,79,77,79,84,84,79,77,79,87
88,79,77,79,84,84,79,77,79,88
88,79,77,79,84,84,79,77,79,88
87,79,77,79,84,83,79,78,80,87
88,80,77,79,84,84,79,78,80,89
89,80,77,79,84,85,79,77,80,88
88,80,77,80,84,84,79,77,79,88
88,80,77,80,84,84,79,77,79,88
88,80,78,80,85,84,80,78,80,89
88,80,78,80,84,84,80,78,80,88
88,80,78,80,84,84,79,78,80,88
88,80,77,79,84,84,79,78,80,89
88,80,77,79,84,84,79,78,80,89
88,80,77,79,84,84,79,78,81,89
88,80,77,80,84,84,79,78,81,89
88,80,78,80,84,84,80,78,81,89
88,80,77,79,84,84,79,78,81,89
88,80,77,79,84,84,79,77,80,88
88,80,77,79,84,84,79,78,80,88
89,80,77,80,84,84,79,77,80,89
88,79,77,79,84,84,79,78,80,88
88,79,77,79,84,83,79,77,79,87
87,79,77,79,83,83,79,77,79,87
87,79,77,79,84,83,79,77,79,87
88,79,77,79,84,83,78,77,79,87
88,79,77,79,84,83,79,77,79,87
88,79,77,79,83,83,78,77,79,88
89,80,77,79,83,83,78,77,79,88
88,79,77,79,84,84,79,77,79,88
88,79,77,79,83,83,78,77,79,88
88,79,76,79,84,84,79,77,79,87
88,79,77,79,84,84,78,77,79,88
88,79,77,79,84,84,79,77,79,88
88,80,77,79,83,83,79,77,79,88
88,79,77,79,84,84,79,77,79,88
88,79,77,79,84,84,79,77,80,88
88,79,77,79,84,84,79,77,79,87
88,79,77,79,84,84,79,77,80,88
88,79,77,79,84,84,79,78,80,88
88,79,77,79,84,84,79,77,80,88
89,80,77,79,84,84,79,77,80,89
88,79,77,79,84,84,79,78,81,90
88,80,78,80,84,84,79,78,81,90
88,80,77,79,84,84,79,78,81,90
89,80,77,79,84,84,79,78,81,90
88,80,77,79,84,84,79,78,80,88
88,80,77,79,84,84,79,78,80,89
89,80,77,79,84,84,79,78,81,90
89,80,77,79,84,84,79,77,81,90
89,80,77,79,84,84,79,78,81,90
89,80,77,79,84,85,79,77,80,89
88,80,77,79,84,84,79,77,80,88
88,80,77,79,84,84,79,77,80,88
88,79,77,79,84,85,79,77,79,88
88,79,76,79,84,84,79,77,79,88
88,79,77,79,84,84,79,77,79,88
88,79,77,79,84,84,79,77,80,88
88,79,77,79,84,84,79,77,79,88
88,79,77,79,83,83,78,77,79,88
88,79,76,79,84,83,79,77,79,87
87,79,76,79,84,84,78,77,78,87
87,79,76,79,83,83,78,77,78,86
88,79,77,78,83,83,78,77,79,88
87,79,77,79,83,83,79,77,79,87
88,79,77,78,83,83,78,77,79,87
88,79,77,79,83,83,78,77,79,87
87,79,77,79,84,83,78,77,78,87
88,80,77,79,84,83,79,77,80,89
88,80,77,79,83,84,79,77,80,88
88,80,77,79,83,84,79,77,80,89
89,80,77,79,83,84,79,77,80,88
88,80,77,79,84,84,79,77,80,89
89,80,76,78,83,83,78,77,80,89
88,80,77,78,83,84,79,77,81,90
88,80,77,79,84,84,79,77,81,90
88,79,77,79,83,83,79,77,81,90
88,80,77,79,84,84,79,77,81,90
88,79,76,78,84,83,79,77,81,90
88,79,76,78,84,84,79,77,81,90
88,80,76,79,84,84,79,77,81,90
88,79,76,78,83,83,79,77,81,90
88,80,77,78,83,83,79,77,80,89
88,80,77,78,83,83,78,77,80,88
88,79,76,78,83,83,78,77,80,88
88,79,76,79,83,83,78,77,79,88
88,79,77,78,83,83,78,77,79,87
88,79,77,79,83,83,78,77,79,88
88,79,77,78,83,83,78,77,79,88
87,79,76,78,83,83,78,76,78,87
87,79,76,78,83,83,78,77,79,88
88,79,76,78,83,83,78,77,79,87
87,79,76,78,83,83,78,76,79,87
87,78,76,78,83,83,78,76,78,87
87,79,77,78,83,83,78,77,79,87
88,79,77,78,83,83,78,77,79,88
88,79,76,78,83,83,78,77,79,88
87,78,76,78,83,83,78,77,79,87
86,78,76,78,83,83,78,76,78,87
87,78,76,78,83,83,78,76,78,87
86,78,76,78,83,83,78,76,78,87
87,79,76,78,83,83,78,76,79,87
88,79,77,78,83,83,78,76,79,88
88,79,76,78,83,83,78,77,80,89
88,79,76,78,83,83,78,77,80,89
88,79,76,78,83,83,78,77,80,89
88,79,76,78,83,84,79,77,80,89
88,79,76,78,83,83,78,77,80,89
88,79,76,78,83,84,79,77,80,90
88,80,77,78,83,83,78,77,81,90
87,79,76,78,83,83,78,77,80,89
87,79,76,78,83,83,78,77,80,89
89,80,76,78,84,84,79,77,81,90
