 X17, X18, X19, X20, X21, X22, X23, X24, X25, X26
67,75,86,98,109,129,139,149,159,167
66,74,86,97,108,128,139,150,160,167
67,75,86,98,109,128,139,150,160,166
66,74,86,98,109,128,138,149,160,167
66,74,86,98,109,128,139,150,160,167
66,74,86,98,109,129,139,150,160,167
67,75,87,98,109,128,139,149,160,167
66,74,86,98,108,128,138,149,159,166
66,74,86,98,108,128,139,149,160,166
66,74,86,97,108,128,139,149,159,166
66,74,86,97,108,129,139,149,160,166
66,74,86,97,108,128,138,149,159,166
66,74,85,97,108,128,139,149,159,166
66,74,86,98,109,128,138,149,159,166
66,74,85,97,108,128,138,149,159,166
66,74,85,97,108,128,138,149,159,166
65,73,84,96,107,130,140,151,161,167
68,76,86,97,106,131,141,151,160,165
70,77,87,98,107,130,139,150,159,164
70,77,87,98,107,130,139,150,160,165
70,77,87,98,107,130,140,150,160,166
70,77,87,98,108,130,140,151,160,166
70,77,88,99,109,129,139,150,159,165
71,78,88,99,109,129,138,149,159,164
69,76,87,99,108,129,139,150,160,166
69,76,87,98,108,130,139,150,159,166
68,76,86,97,107,130,139,149,159,166
68,76,86,97,107,131,140,151,160,166
69,76,87,98,108,130,139,150,160,166
71,78,88,99,108,129,138,148,157,164
70,77,87,97,106,131,140,150,159,165
70,77,87,97,106,131,140,149,158,164
71,78,88,98,107,130,138,148,157,163
69,76,86,97,106,130,139,149,158,165
69,76,86,97,106,131,140,150,160,166
69,76,86,97,107,131,140,151,160,166
68,75,86,97,107,131,140,151,160,166
67,75,85,96,106,132,141,152,161,167
69,76,86,97,106,130,139,150,159,165
69,76,86,96,106,131,140,151,160,166
67,74,85,96,106,132,141,152,161,167
67,74,84,96,106,132,142,152,161,167
66,73,84,96,107,132,142,153,163,168
66,73,84,96,107,130,141,152,162,168
66,74,85,97,108,130,140,151,162,168
67,74,85,97,108,130,140,151,161,168
67,75,86,98,109,129,140,151,161,168
67,74,86,98,109,129,140,151,161,168
66,74,86,98,108,129,140,151,161,168
66,74,85,97,109,130,141,151,162,168
66,74,86,98,109,129,140,151,161,168
66,74,86,98,109,129,140,151,161,168
66,74,86,98,109,129,140,151,161,168
67,75,86,98,109,129,140,151,161,168
67,75,86,98,109,129,140,151,162,168
67,75,86,98,109,130,140,151,162,168
67,75,87,98,109,130,140,151,161,168
67,75,86,99,110,129,139,151,161,168
67,75,87,98,109,130,140,151,161,168
66,74,86,98,110,129,140,151,162,168
67,75,86,98,109,130,140,151,162,168
67,75,86,98,110,130,140,151,162,169
67,75,87,99,110,130,140,151,162,168
67,74,86,97,108,132,143,153,163,169
67,73,84,95,107,132,142,153,163,168
71,79,88,98,107,131,140,150,159,165
71,78,89,100,109,130,139,150,159,166
71,79,89,99,109,129,138,149,159,165
71,77,88,99,108,130,139,150,159,165
71,79,89,100,109,129,139,149,159,165
70,77,88,99,109,130,140,151,161,167
70,78,89,100,109,130,139,150,160,166
70,77,88,100,110,128,139,150,161,166
70,78,89,100,110,128,138,150,160,166
70,78,88,100,109,129,138,149,159,166
71,78,89,100,110,129,139,150,159,165
69,77,88,99,109,129,138,149,159,166
70,77,88,99,109,129,139,150,160,166
70,77,88,100,109,129,138,150,160,166
69,76,87,99,109,128,138,149,160,166
69,77,87,99,109,128,138,150,160,166
70,77,88,99,109,128,138,149,159,166
68,75,86,97,107,130,140,150,160,166
66,73,84,95,106,132,142,153,162,167
66,73,85,97,108,129,140,152,162,168
66,73,85,97,108,130,140,151,162,168
67,74,85,97,108,129,140,151,162,168
66,74,85,97,108,129,139,151,162,168
65,73,85,97,108,128,139,150,161,168
66,74,85,98,109,128,139,150,161,168
66,74,85,97,108,128,139,150,160,167
66,74,85,97,108,128,139,150,161,168
65,73,85,97,108,128,139,151,162,169
66,73,85,97,109,128,139,150,161,168
67,74,86,97,108,128,139,150,160,167
66,74,85,97,108,129,139,151,161,168
67,74,86,97,108,128,139,150,160,167
66,74,86,98,109,129,139,150,161,168
66,74,85,97,108,128,139,150,161,168
66,74,86,97,108,128,139,150,160,167
67,74,86,98,109,129,139,150,161,168
67,74,86,98,109,129,139,150,161,168
66,74,86,98,109,129,139,150,160,167
65,72,83,95,107,130,141,151,161,167
67,74,85,96,106,130,140,151,160,165
68,76,86,97,107,129,139,149,159,165
69,76,86,98,107,129,138,149,158,164
68,75,86,98,108,128,138,149,159,165
