 X51, Y51, X52, Y52, X53, Y53, X54, Y54, X62, Y62, X63, Y63, X64, Y64
122,165,130,164,139,164,147,167,122,169,130,168,144,168
122,166,129,164,139,164,147,167,122,169,130,168,143,168
122,166,130,164,139,164,147,166,122,168,130,168,144,167
122,166,130,164,139,164,147,166,122,169,130,168,144,168
122,166,129,164,139,164,147,167,122,168,130,168,143,168
121,165,129,164,139,164,147,167,121,169,129,168,143,168
122,166,130,164,139,164,147,166,122,169,130,168,144,168
122,166,130,164,139,164,146,167,122,169,130,168,143,168
122,165,130,164,139,164,146,167,122,169,130,168,143,168
122,165,129,164,139,164,147,166,122,168,129,168,144,167
122,166,130,164,139,164,147,166,122,168,130,168,144,167
122,165,130,164,139,163,147,166,122,168,130,167,143,167
122,165,130,164,139,164,147,166,122,168,130,167,143,167
122,165,129,163,139,163,147,166,122,168,129,167,144,167
122,165,130,164,139,164,147,166,122,168,130,167,144,167
122,165,130,164,139,163,146,166,122,168,130,167,143,167
122,165,129,164,139,164,147,166,122,168,130,167,144,167
122,165,129,164,139,163,146,166,122,168,130,167,143,167
122,165,129,163,139,164,147,167,122,168,130,167,144,167
122,165,130,164,139,164,146,167,122,168,130,168,143,168
122,165,130,163,139,164,147,166,122,168,130,168,143,168
122,165,130,164,139,164,147,166,122,168,130,167,144,167
122,165,129,164,139,164,146,166,122,169,129,168,143,167
121,166,129,164,139,164,146,166,121,169,129,168,143,168
121,166,128,164,138,164,146,167,121,169,128,168,142,168
121,166,128,164,138,164,145,166,121,169,128,168,142,168
121,166,128,164,138,164,146,167,121,169,128,168,143,168
121,166,128,164,138,165,146,167,121,169,129,168,143,168
122,166,129,165,138,165,146,167,122,169,129,169,143,168
121,166,129,165,138,165,146,168,121,170,129,169,142,169
121,167,128,166,137,166,145,168,121,170,128,169,141,169
120,167,128,166,136,167,144,169,120,171,128,170,141,170
121,168,128,167,137,167,144,170,121,171,128,171,141,171
120,169,127,167,136,168,144,171,120,172,128,172,141,172
121,169,127,167,136,169,144,171,121,173,128,172,140,172
120,169,127,168,136,169,144,172,120,173,127,173,140,172
120,169,127,168,136,169,144,171,120,173,127,173,140,172
121,170,127,168,136,169,144,172,121,173,127,173,141,173
121,170,127,168,136,170,144,172,121,174,128,173,141,173
121,170,127,168,136,170,144,173,121,174,128,173,140,173
121,170,128,169,136,170,144,173,121,175,128,174,140,174
121,171,128,169,136,170,144,173,121,175,128,174,140,174
121,170,128,169,136,170,144,173,122,175,128,174,140,174
121,170,128,169,136,170,143,173,121,175,128,174,140,174
121,171,128,170,135,171,143,174,121,176,128,175,139,174
122,171,128,170,136,171,143,174,122,176,128,175,140,174
121,171,127,170,135,171,143,174,121,176,128,176,140,174
121,172,128,170,136,171,143,174,121,176,128,176,140,175
121,172,128,170,135,171,143,174,121,176,128,176,140,175
122,172,128,170,136,171,144,175,122,177,129,176,141,175
121,172,128,170,136,171,143,174,121,177,128,176,140,175
122,172,128,170,136,171,143,174,122,176,128,176,140,175
121,172,128,170,136,172,143,175,121,177,128,176,140,175
122,172,128,170,136,171,143,174,122,176,128,175,140,175
122,172,128,170,136,171,144,175,122,176,129,176,140,175
121,171,128,170,136,171,143,174,121,177,128,176,140,175
121,171,128,170,136,171,143,174,121,176,128,176,140,174
121,171,127,170,135,171,143,174,121,176,128,175,140,174
121,171,127,170,135,171,143,174,121,176,128,175,140,174
121,171,128,170,136,171,143,174,122,176,128,175,140,174
121,171,128,170,136,171,143,174,121,176,128,175,140,174
122,171,128,169,136,171,143,173,122,175,129,174,140,174
122,170,129,169,136,170,143,172,122,174,129,173,140,173
122,169,129,167,136,168,143,171,122,172,129,171,140,171
121,168,128,167,137,167,144,170,121,171,129,170,141,170
121,168,128,166,137,166,145,168,121,170,128,169,141,169
121,167,128,166,137,166,144,169,121,170,128,170,141,169
121,167,128,165,136,166,144,168,121,170,128,169,141,169
121,167,129,166,137,166,145,168,121,170,129,169,141,169
121,167,128,165,137,165,145,168,121,170,128,169,141,169
122,167,129,165,138,165,145,168,122,170,129,169,142,169
121,167,128,166,137,165,145,167,121,170,128,169,142,169
121,167,128,166,137,166,145,167,121,170,128,169,142,168
121,167,128,165,137,165,145,167,121,170,129,169,142,168
121,167,128,165,138,165,145,168,121,170,128,169,142,169
120,167,127,165,137,165,145,168,120,170,128,169,142,169
121,167,128,165,137,165,145,167,121,170,128,169,142,168
121,167,128,165,137,165,145,168,121,170,128,169,142,169
120,167,128,165,137,165,145,167,120,170,128,169,142,168
121,166,128,165,137,165,145,168,121,170,128,169,142,168
121,166,128,165,138,165,146,167,121,170,128,169,142,168
121,167,129,165,138,165,146,167,121,170,129,169,143,168
121,167,129,165,138,165,146,167,121,170,129,169,143,168
121,167,129,165,138,165,146,166,121,170,129,169,143,168
121,166,129,165,138,165,147,166,121,170,129,169,144,167
121,167,129,165,138,165,146,166,121,170,129,169,143,168
121,165,128,164,138,164,147,166,121,169,129,168,143,167
121,167,129,165,139,165,147,166,121,170,129,169,144,168
121,166,129,165,138,164,146,166,121,169,129,168,143,168
121,166,128,165,138,165,146,166,121,169,129,168,143,168
121,166,128,164,138,164,146,166,121,169,129,168,143,168
122,166,129,164,139,165,147,166,122,169,129,168,143,167
121,166,129,165,138,164,146,166,121,169,129,168,143,168
121,166,129,165,139,164,146,166,121,169,130,168,143,168
121,166,129,165,139,165,147,166,121,169,129,168,143,168
122,166,130,165,139,164,147,166,122,169,130,168,143,168
121,166,129,165,139,164,146,166,121,169,129,168,143,167
121,166,128,164,138,164,147,166,121,169,129,168,143,167
121,166,129,164,138,164,146,166,122,169,129,168,143,167
121,166,129,165,138,164,146,166,121,169,129,168,143,168
121,166,129,164,138,164,146,166,121,169,129,168,143,167
121,166,129,164,138,164,146,166,121,169,129,168,143,167
121,166,129,165,139,164,146,166,121,169,129,168,143,167
121,166,128,164,138,164,146,166,121,169,128,168,143,167
122,166,129,164,138,164,146,166,122,169,129,168,143,167
122,166,129,165,139,164,147,166,122,169,130,168,144,167
121,166,129,165,138,164,146,167,122,169,130,168,143,168
122,166,129,164,138,164,146,166,122,169,129,168,143,167
122,166,129,165,139,164,147,165,122,169,129,168,144,167
121,166,129,164,138,165,146,166,121,169,129,168,143,167
121,166,129,165,138,165,146,166,121,169,129,168,144,167
121,166,129,164,138,164,146,166,121,169,129,168,143,168
122,166,129,164,138,164,147,167,122,169,129,168,144,168
122,166,129,164,138,164,147,166,122,169,129,168,143,168
121,166,129,164,138,165,147,167,121,169,129,168,144,168
121,166,128,165,138,165,146,166,121,169,129,168,143,167
122,166,129,164,138,164,146,166,121,169,129,168,143,167
122,166,129,165,138,165,146,167,122,169,129,168,143,168
121,166,129,165,138,164,146,166,121,169,129,168,143,167
121,166,129,165,138,165,146,167,121,169,129,168,143,168
121,166,128,165,138,165,146,167,121,169,129,169,143,168
121,166,129,165,138,165,146,167,122,169,129,168,143,168
121,167,128,165,138,165,146,167,121,169,129,169,143,168
121,167,129,165,139,165,147,167,122,169,129,168,143,168
121,167,129,165,138,165,146,167,121,169,129,169,143,168
121,167,129,165,138,165,146,167,121,169,129,168,143,168
122,167,129,165,139,165,146,167,122,169,130,168,143,168
121,167,129,165,138,165,145,167,121,170,129,169,142,169
121,167,129,166,138,166,145,168,121,170,129,169,142,169
121,167,128,166,137,166,145,168,121,170,129,169,142,169
121,167,128,166,137,166,145,169,121,170,128,169,142,170
121,167,128,166,137,166,144,169,121,170,129,169,142,170
121,167,128,166,136,167,144,170,121,170,128,170,141,170
121,168,128,167,136,168,144,170,121,171,128,170,141,171
121,169,127,168,136,169,144,171,121,172,128,171,140,172
121,169,127,168,135,170,143,172,121,173,127,172,139,173
121,170,127,168,135,170,143,172,121,173,127,173,139,173
122,170,128,169,136,170,143,172,122,173,128,173,140,173
122,171,128,169,136,171,143,173,122,174,128,174,140,174
122,171,128,170,136,171,143,173,122,175,128,174,140,174
122,171,128,170,136,171,143,173,122,175,128,174,140,174
122,172,128,170,136,171,143,174,122,176,129,175,140,174
122,172,128,170,136,171,143,174,122,176,129,175,140,174
122,172,128,170,136,171,143,174,122,176,129,175,139,174
122,171,128,170,136,171,143,174,122,176,129,175,140,174
122,171,128,170,136,171,143,174,122,176,129,175,139,174
122,172,128,170,135,171,143,174,122,176,128,175,140,174
122,172,128,170,135,172,143,175,122,176,128,176,140,175
122,171,127,170,135,172,142,175,122,176,128,176,140,175
122,172,128,170,136,172,143,174,122,176,129,175,140,175
122,172,128,170,136,172,143,174,122,176,128,176,140,175
122,172,128,170,136,171,143,174,122,176,129,175,140,174
122,171,128,170,136,171,143,174,122,176,129,175,140,174
123,172,129,170,136,171,143,174,123,176,129,175,140,175
122,171,128,170,136,171,143,174,122,176,129,175,140,175
122,171,129,170,136,171,143,174,122,176,129,175,140,174
122,171,129,170,137,171,144,174,122,176,129,175,141,174
123,171,129,169,137,170,144,174,123,175,129,174,141,174
123,170,129,169,137,170,144,173,123,175,129,174,141,173
123,170,129,168,137,170,144,173,123,175,130,174,141,173
123,170,129,168,137,170,144,173,123,175,129,174,141,173
123,170,129,168,137,169,144,172,123,174,130,173,141,172
122,169,129,167,137,168,144,171,123,173,130,172,141,172
123,168,130,166,138,167,144,170,123,171,130,170,141,170
123,168,129,166,137,167,144,170,123,171,130,170,141,170
122,167,129,166,137,167,144,170,123,170,130,169,141,170
122,168,129,166,137,167,144,169,123,171,130,170,141,170
123,168,130,166,137,167,144,170,123,171,130,170,141,170
122,167,129,166,137,167,144,170,123,170,130,170,141,170
122,168,130,166,137,167,144,170,123,170,130,170,141,170
123,167,130,166,138,167,145,169,123,170,130,170,141,170
122,167,130,166,138,166,145,169,123,170,130,169,142,170
122,167,130,165,138,166,145,168,123,170,130,169,142,169
122,167,129,165,137,165,145,168,122,169,130,168,142,169
122,166,130,165,138,165,145,167,123,170,130,169,142,168
123,166,130,165,139,165,146,167,123,169,130,168,143,168
123,166,131,165,139,165,147,166,123,169,131,168,143,168
123,166,131,164,139,164,147,166,123,169,131,167,144,167
124,166,131,164,140,164,148,166,124,169,131,168,145,167
124,166,131,164,140,164,148,166,124,169,131,167,144,167
123,166,130,164,140,164,148,165,123,168,131,167,144,166
124,166,131,164,140,164,148,165,124,168,131,167,144,167
123,165,131,163,140,163,148,165,123,168,131,167,144,166
123,166,131,164,140,164,147,165,123,168,131,167,144,167
124,166,131,164,141,163,149,164,124,168,132,167,145,166
123,165,131,164,140,163,147,165,123,168,131,167,144,166
124,165,131,164,140,163,148,165,124,168,131,167,144,166
123,165,131,163,140,163,148,165,123,168,131,167,145,166
